Time (s),Temp. (Cel),Displacement (m),Load (N),Displacement Rate (m/s),Strain,Strain Rate (1/s),Stress (Pa)
524.0,24.4882717132568,0.000986731384277344,0.6780998601242068,0.03187924072265627,0.0911109311428757,2.9436048682046416,52081.40246729699
529.0,24.4816703796387,0.0010221578369140599,0.7010079557025906,0.02550700561523436,0.09438207173721697,2.3552175083318887,53840.85681279498
533.0,24.477897644043,0.0010582990722656299,0.7243595771385188,0.032527119140625,0.09771921258223729,3.003427436807479,55634.376124310205
537.0,24.4694118499756,0.00109299853515625,0.7462742286655429,0.031229527587890635,0.10092322577620036,2.8836128890019053,57317.52908337504
541.0,24.4568386077881,0.0011284172363281299,0.7689343747344974,0.03187683837890627,0.1041936506304829,2.9433830451436997,59057.93968774942
545.0,24.4464645385742,0.0011631220703125,0.7908609224510189,0.031234350585937497,0.10739815977031392,2.8840582258483374,60742.00633264355
550.0,24.4417495727539,0.00119857653808594,0.8131299906425477,0.02552724792480468,0.11067188717321698,2.3570866043217618,62452.38023368262
554.0,24.4376640319824,0.0012339410400390599,0.835494602444076,0.03182798217773436,0.113937307482831,2.938871853899756,64170.09235361568
558.0,24.4260330200195,0.0012693808593749998,0.8576874302764896,0.03189584106445314,0.11720968230609416,2.945137679081545,65874.61062031411
563.0,24.4153461456299,0.0013054959716796899,0.8803948618282318,0.02600291015625,0.12054441105075621,2.4010074013157894,67618.65298219907
567.0,24.4052867889404,0.0013410318603515599,0.9025020221324919,0.03198223754882814,0.12382565654215695,2.9531151937976117,69316.59156163533
571.0,24.395544052124,0.0013763988037109398,0.924376196687698,0.0318302490234375,0.1270913022817119,2.9390811655990303,70996.63569029939
575.0,24.3933429718018,0.001411078125,0.9458325830532069,0.031211433105468776,0.13029345567867034,2.8819421150017335,72644.59163235077
579.0,24.3864269256592,0.0014466164550781299,0.9680772603153227,0.03198448608398436,0.13357492660001197,2.9533228147723323,74353.09219011696
584.0,24.3769969940186,0.00148132214355469,0.9891121175510439,0.024988124999999996,0.13677951464032223,2.3073060941828247,75968.67262296805
588.0,24.3681964874268,0.0015158889160156298,1.0101563271369953,0.031110065917968777,0.13997127571704798,2.8725822638937,77584.97136228843
592.0,24.3600234985352,0.00155150048828125,1.0322586242191323,0.032050371093749995,0.14325950953658817,2.959406379847645,79282.5364223604
596.0,24.3480796813965,0.00158601928710938,1.0532340005073517,0.031066962890625,0.14644684091499352,2.868602298303324,80893.54842606389
600,24.3392772674561,0.00162096826171875,1.0745656639301346,0.03145402587890628,0.1496738930488227,2.9043421864179386,82531.92503303646
605.0,24.3301620483398,0.0016561874999999999,1.0961635326499946,0.0253578515625,0.15292590027700828,2.3414452042936285,84190.74751536058
609.0,24.3235607147217,0.0016910316162109399,1.1174379596893336,0.031359730224609354,0.15614327019491595,2.895635293131057,85824.72808673838
613.0,24.3147602081299,0.0017264077148437498,1.1390003642971005,0.03183848876953128,0.1594097612967451,2.93984199164647,87480.82675092938
617.0,24.3087882995605,0.00176114855957031,1.1598933650844587,0.031266760253906276,0.1626175955281911,2.887050808301595,89085.51191124876
621.0,24.3065872192383,0.0017966625976562499,1.181563284310533,0.031962670898437504,0.1658968234216297,2.951308485543629,90749.86822661545
626.0,24.2971572875977,0.0018313717041015599,1.202072614281844,0.024990514526367177,0.16910172706385593,2.3075267337365815,92325.0855823229
630.0,24.2867851257324,0.0018674404296875,1.2241044320526149,0.03246185302734378,0.17243217263965832,2.9974010182219555,94017.23748483986
634.0,24.2786121368408,0.00190137854003906,1.2441942530017824,0.03054434692382814,0.17556588550683838,2.820345976346088,95560.23448554397
638.0,24.2657241821289,0.00193683264160156,1.2658067862068192,0.03190871704101564,0.1788395790952502,2.946326596585008,97220.18327241315
643.0,24.2654094696045,0.00197232763671875,1.2869100278274523,0.025556401977539035,0.18211704863515696,2.3597785759500494,98841.01596216993
647.0,24.2522087097168,0.00200055529785156,1.3032115483810436,0.025404834594726537,0.1847234808727202,2.345783434416116,100093.0528710479
650.0,24.2493801116943,0.00200006823730469,1.3003365611000053,-0.0005844726562499999,0.18467850759969434,-0.053967927631578934,99872.23971582223
653.0,24.2418346405029,0.00200013854980469,1.2990131661323516,8.44573974609378e-05,0.1846849999819658,0.0077984669862361765,99770.59647713914
655.0,24.2368068695068,0.00200006030273438,1.2975178375579859,-0.00014089965820312497,0.18467777495238963,-0.013010125411184207,99655.74789231844
660,24.2251758575439,0.00198575463867188,1.2863249447967553,-0.010300096435546859,0.18335684567607383,-0.9510707696719167,98796.07870942821
664.0,24.2160606384277,0.00195141479492188,1.2617816843032874,-0.030905815429687497,0.1801860383122696,-2.8537225696849027,96911.03566077477
668.0,24.2069454193115,0.00191669982910156,1.237924736679462,-0.031243535156250002,0.1769805936381865,-2.8849062932825484,95078.70481409079
672.0,24.1981430053711,0.00188111755371094,1.2136259092117296,-0.032024022216796864,0.1736950649779261,-2.9569734272203934,93212.43542332793
676.0,24.1937427520752,0.0018464802246093799,1.1906017696716356,-0.031173566894531275,0.17049678897593534,-2.8784456966326197,91444.0683311548
681.0,24.1887130737305,0.0018110290527343798,1.1668271227298745,-0.025524871215820318,0.1672233659034515,-2.3568671482751906,89618.05858140359
685.0,24.184627532959,0.00177484826660156,1.14285899436646,-0.032562707519531275,0.16388257309340348,-3.006713529042592,87777.1885074086
689.0,24.1701679229736,0.0017394840087890599,1.1198192176967636,-0.0318278466796875,0.160617175326783,-2.9388593425380884,86007.62040681748
693.0,24.1535091400146,0.00170467810058594,1.096880820503616,-0.03132533203125,0.15740333338743673,-2.8924590979916895,84245.83874835761
698.0,24.1412487030029,0.00166930603027344,1.0735098958168023,-0.025467824707031277,0.15413721424500829,-2.351599695940099,82450.83685228898
702.0,24.1299343109131,0.00163385229492188,1.0503748748123156,-0.031908391113281274,0.1508635544710877,-2.946296501688021,80673.95351861103
706.0,24.1198749542236,0.00159846008300781,1.027406550098421,-0.031853063964843775,0.14759557553165373,-2.9411878083881597,78909.87327944863
710.0,24.1145305633545,0.00156391284179688,1.0048036404129015,-0.031092454833984356,0.14440561789444875,-2.8709561250216393,77173.85871066833
715.0,24.1073017120361,0.00152754174804688,0.9809199824768114,-0.026187163696289036,0.14104725282057987,-2.4180206552436783,75339.47638070749
719.0,24.1035289764404,0.0014929892578125,0.9585980173923496,-0.031097277832031277,0.13785681050900275,-2.8714014618680768,73625.03973827571
723.0,24.0915851593018,0.001458169921875,0.936057731044006,-0.03133744995117186,0.13464172870498614,-2.8935780194987863,71893.83494961644
727.0,24.0818405151367,0.0014220095214843799,0.9127123943874355,-0.032544356689453144,0.1313028182349381,-3.0050190848987204,70100.79834004882
731.0,24.0746116638184,0.00138735083007813,0.8905661038497927,-0.031192825927734362,0.12810256972097228,-2.8802240007141604,68399.85436634353
736.0,24.0670680999756,0.00135207690429688,0.8676789575359347,-0.025397197265624998,0.12484551286213111,-2.3450782332063707,66642.00902733754
740.0,24.0541801452637,0.00131718725585938,0.8451927651813503,-0.031400621337890636,0.12162393867584301,-2.899411019195811,64914.9589232988
744.0,24.0453777313232,0.0012818568115234399,0.8221473771015164,-0.031797410888671856,0.11836166311389101,-2.936049020191307,63144.95983882615
748.0,24.0381488800049,0.00124710144042969,0.7994875303077701,-0.031279892578125,0.11515248757430192,-2.8882633959487536,61404.572220258844
752.0,24.0306053161621,0.00121237646484375,0.7768726496139529,-0.0312524267578125,0.11194611863746536,-2.885727309123961,59667.638219197615
757.0,24.0177173614502,0.0011777027587890599,0.7544946452468869,-0.024965081176757817,0.1087444837293684,-2.305178317336825,57948.897484399924
761.0,24.0095443725586,0.00114212951660156,0.7313543869262695,-0.0320159033203125,0.10545978915988548,-2.9562237599549857,56171.61189909904
765.0,24.0029430389404,0.00110752795410156,0.7091531045692447,-0.031141446533203138,0.10226481570651523,-2.8754798276272515,54466.44428335213
769.0,23.9862842559814,0.00107137622070313,0.6853915509178158,-0.032536560058593775,0.09892670551275437,-3.0042991743853897,52641.44016265867
774.0,23.9812545776367,0.00103668786621094,0.662856651523209,-0.0249756005859375,0.09572371802501753,-2.30614963859072,50910.649118526046
778.0,23.9771690368652,0.00100205017089844,0.6401819157878879,-0.031173907470703133,0.09252540820853554,-2.8784771441092456,49169.11795605898
782.0,23.969310760498,0.000966638366699219,0.6166609794033046,-0.03187066040039063,0.08925562019383369,-2.942812594680575,47362.59442421694
786.0,23.957052230835,0.0009318074951171879,0.5935333654602051,-0.03134775146484378,0.08603947323335068,-2.8945292211305427,45586.279989263065
790.0,23.9473075866699,0.0008965011596679689,0.5704828522924422,-0.031775712890625,0.08277942379205622,-2.934045511599723,43815.88727284503
795.0,23.9419631958008,0.000861721435546875,0.5471767955068585,-0.02504142333984378,0.07956799958881579,-2.3122274552025646,42025.86755044996
799.0,23.9334774017334,0.0008270249633789059,0.5241307340578083,-0.031226832275390637,0.0763642625465287,-2.8833640143481656,40255.816747911544
803.0,23.9253044128418,0.0007916591186523439,0.5002888250131611,-0.03182923828125,0.07309871825044727,-2.938987837603878,38424.64093803081
807.0,23.9224758148193,0.000756825744628906,0.47716165998287186,-0.031350032958984364,0.06988234022427571,-2.8947398854094515,36648.360981787395
812.0,23.9187030792236,0.000720771789550781,0.4527437209825513,-0.02595885498046878,0.06655325849961043,-2.3969395180488253,34772.94323982729
816.0,23.9014148712158,0.0006854247436523439,0.42897064523563394,-0.03181236328125,0.06328945001406684,-2.9374296658587253,32947.054165563284
820.0,23.8970146179199,0.0006500374755859379,0.4047656405454631,-0.031848497314453134,0.060021927570262035,-2.940766141685423,31087.990825304387
824.0,23.8878993988037,0.000615253295898438,0.3813187373653412,-0.03130578002929686,0.056810091957381154,-2.890653742317346,29287.153407476286
828.0,23.8724956512451,0.0005798659057617189,0.3572322456573491,-0.03184865112304686,0.053542558242079305,-2.9407803437716398,27437.19244680101
833.0,23.8668384552002,0.000545176330566406,0.3334645568641666,-0.024976506958007818,0.05033945803937267,-2.3062333294559387,25611.71711706349
837.0,23.8489208221436,0.000510460845947266,0.30931041025457345,-0.031243912353515636,0.04713396546142807,-2.8849411222082764,23756.559927386596
841.0,23.8398056030273,0.00047574212646484394,0.28523899453515966,-0.03124686401367186,0.04392817418881292,-2.885213667005712,21907.756876740375
845.0,23.8322620391846,0.000440199768066406,0.260216051998138,-0.03198810791015627,0.04064633130807072,-2.953657240088298,19985.871889257913
849.0,23.8247184753418,0.000404925201416016,0.23581311416759518,-0.031747115478515636,0.03738921527387036,-2.9314049379977503,18111.606310875206
854.0,23.8156032562256,0.00037026107788085897,0.21131614780778926,-0.02495817443847654,0.03418846517828799,-2.3045405760366147,16230.118879246489
858.0,23.8055438995361,0.00033547299194335896,0.1866892585985181,-0.03130926269531249,0.030976268877503134,-2.8909753181267304,14338.652734141177
862.0,23.793285369873,0.000300884979248047,0.1620181140679363,-0.031129226074218776,0.02778254656029981,-2.8743514380626753,12443.787562821528
866.0,23.7772541046143,0.000265321655273438,0.13629259492421172,-0.032006993408203135,0.024498767799948105,-2.955401053389024,10467.94123841872
870.0,23.7719097137451,0.000230003692626953,0.11108859088664007,-0.03178616821289064,0.02123764474856445,-2.935010915317695,8532.14983768357
875.0,23.7665672302246,0.00019589100646972697,0.08643521582150462,-0.024561134033203137,0.018087812231738408,-2.267879412114786,6638.64944865627
879.0,23.7549362182617,0.000160541427612305,0.0609411533175707,-0.031814611816406276,0.014823769862632038,-2.937637286833451,4680.580131917873
883.0,23.7426776885986,0.000125248687744141,0.03487709780004027,-0.031763474121093774,0.01156497578431588,-2.9329154313105974,2678.7325499262884
887.0,23.7376480102539,9.050418090820309e-05,0.009023370209553834,-0.031270056152343774,0.008356803407959657,-2.8873551387205696,693.039186601677
891.0,23.7257041931152,5.50663757324219e-05,-0.017181925085747198,-0.03189402099609378,0.00508461456439722,-2.9449696210612903,-1319.6563045888786
896.0,23.7275905609131,2.1020790100097698e-05,-0.04255492843015193,-0.02451282165527346,0.0019409778485778113,-2.2634184353899776,-3268.427682807368
900,23.7169017791748,3.39644312858582e-07,-0.05746010568425653,-0.018613031616210963,3.136143239691431e-05,-1.7186548122078449,-4413.218562538905
903.0,23.7112445831299,3.62112879753113e-07,-0.056259647360444046,2.69622802734375e-05,3.343609231330683e-05,0.0024895918996710523,-4321.017462399696
906.0,23.7059001922607,4.93929743766785e-07,-0.05523772072644234,0.00015818023681640642,4.5607547900903506e-05,0.014605746705116012,-4242.528473613083
908.0,23.7021293640137,5.318669080734249e-07,-0.05456186378436093,6.82868957519532e-05,4.911051782764773e-05,0.006305345868139723,-4190.61933827657
911.0,23.6898708343506,4.4195449352264395e-07,-0.05396785861153604,-0.00010789489746093781,4.080835581926537e-05,-0.009962594410058891,-4144.996821162523
914.0,23.6832695007324,4.834393262863159e-07,-0.05322198062324522,4.978179931640628e-05,4.4638903627545323e-05,0.004596657369935944,-4087.7097252876515
917.0,23.684211730957,6.06749415397644e-07,-0.05277279659380917,0.00014797210693359358,5.6024876768018835e-05,0.013663167768568197,-4053.2101838563117
920.0,23.6763534545898,5.5420196056366e-07,-0.05240970562446119,-6.305694580078139e-05,5.1172849544197594e-05,-0.005822432668585538,-4025.3230126314284
923.0,23.6691246032715,5.60171961784363e-07,-0.05203775330326552,7.164001464843779e-06,5.172409619430867e-05,0.0006614959801333128,-3996.7552460265383
926.0,23.6606369018555,4.77431178092957e-07,-0.05161647201075557,-9.928894042968779e-05,4.408413463462206e-05,-0.009167953871623988,-3964.3987719474326
929.0,23.6518363952637,5.0272262096405e-07,-0.05107407778270246,3.0349731445312498e-05,4.641944791911818e-05,0.002802375941395429,-3922.740229086211
932.0,23.6518363952637,6.583622694015499e-07,-0.05059496155633922,0.00018676757812499998,6.079060659294089e-05,0.017245390408587254,-3885.9417477987113
935.0,23.6537227630615,4.54657435417175e-07,-0.05042089093759057,-0.00024444580078125,4.198129597573176e-05,-0.022571172740650968,-3872.5722686321487
937.0,23.642406463623,6.098965406417849e-07,-0.049907227129459344,0.00027943038940429684,5.6315470050026306e-05,0.025801513333730083,-3833.1203632457255
940.0,23.6336040496826,4.5826232433319093e-07,-0.04981422735872268,-0.00018196105957031278,4.231415737148577e-05,-0.01680157521424864,-3825.9775237114195
943.0,23.6207180023193,5.012730360031129e-07,-0.04934320091531279,5.161285400390628e-05,4.628559889225419e-05,0.004765729824922094,-3789.8003775201837
946.0,23.6222896575928,5.40640711784363e-07,-0.04903551326875686,4.72412109375e-05,4.992065667445641e-05,0.004362069338642659,-3766.168453821572
949.0,23.6138019561768,5.11668086051941e-07,-0.0487033458454609,-3.476715087890628e-05,4.72454373085818e-05,-0.0032102632390495177,-3740.6563629386255
952.0,23.605001449585,5.83861231803894e-07,-0.04850561845679284,8.66317749023436e-05,5.391147108069196e-05,0.007999240526532187,-3725.4699275570542
955.0,23.6015434265137,4.82867121696472e-07,-0.04838694180848597,-0.0001211929321289064,4.458606848536214e-05,-0.011190483114395787,-3716.3549776102896
958.0,23.5930557250977,5.294636487960819e-07,-0.04802012392756943,5.591583251953128e-05,4.888861023047848e-05,0.005163050094139546,-3688.1815612572527
961.0,23.5845699310303,6.02248072624207e-07,-0.04770185877289769,8.734130859375e-05,5.560924031617792e-05,0.008064756102839335,-3663.737232941451
964.0,23.5735683441162,4.2736327648162797e-07,-0.04746668457388877,-0.00020986175537109357,3.9461059693594455e-05,-0.01937781674710005,-3645.6746984553592
966.0000000000001,23.5691661834717,6.37286067008972e-07,-0.0470786976482153,0.00037786102294921854,5.884451218919408e-05,0.03489021449207927,-3615.8753954082413
968.9999999999999,23.566967010498,4.3255126476287797e-07,-0.04722087207648756,-0.0002456817626953128,3.994009831605521e-05,-0.022685296647766647,-3626.795090360028
972.0,23.5540790557861,5.33812403678894e-07,-0.04662811076624391,0.00012151336669921858,4.929015731107054e-05,0.011220070794018336,-3581.268108006445
975.0,23.5499935150146,5.080631971359249e-07,-0.04650735789618488,-3.08990478515625e-05,4.6912575912827784e-05,-0.0028530976778912737,-3571.9936940234165
978.0,23.548734664917,5.66313624382019e-07,-0.04620739996709827,6.99005126953128e-05,5.2291193387074696e-05,0.006454340969096288,-3548.9554506219874
981.0000000000001,23.5361614227295,5.16188502311707e-07,-0.046168031248784026,-6.0150146484374996e-05,4.7662834931828894e-05,-0.005554030146295013,-3545.931739537944
983.9999999999999,23.5311336517334,5.79703211784363e-07,-0.04588000224242208,7.621765136718781e-05,5.3527535714160936e-05,0.007037640938798505,-3523.8096960385624
987.0,23.523588180542,4.90134119987488e-07,-0.04573616777198312,-0.00010748291015625,4.5257074791088454e-05,-0.009924553107686978,-3512.7625016884117
990.0,23.5198173522949,7.0129668712616e-07,-0.04525627530055049,0.0002533950805664064,6.475500342808494e-05,0.02339751436439579,-3475.9044009639397
993.0,23.5160446166992,4.64804530143738e-07,-0.04547391851904387,-0.0002837905883789064,4.291823916378005e-05,-0.02620411711716587,-3492.6204699726477
994.9999999999999,23.5116443634033,5.42528986930847e-07,-0.04509859467558863,0.00013990402221679678,5.009501264366084e-05,0.012918192263785482,-3463.7937538854558
